bin_index,phase,normalized_flux
0,0.0009765625,0.0
1,0.0029296875,0.0
2,0.0048828125,0.0
3,0.0068359375,0.0
4,0.0087890625,0.0
5,0.0107421875,0.0
6,0.0126953125,0.0
7,0.0146484375,0.0
8,0.016601562,0.0
9,0.018554688,0.0
10,0.020507812,0.0
11,0.022460938,0.0
12,0.024414062,0.0
13,0.026367188,0.0
14,0.028320312,0.0
15,0.030273438,0.0
16,0.032226562,0.0
17,0.034179688,0.0
18,0.036132812,0.0
19,0.038085938,0.0
20,0.040039062,0.0
21,0.041992188,0.0
22,0.043945312,0.0
23,0.045898438,0.0
24,0.047851562,0.0
25,0.049804688,0.0
26,0.051757812,0.0
27,0.053710938,0.0
28,0.055664062,0.0
29,0.057617188,0.0
30,0.059570312,0.0
31,0.061523438,0.0
32,0.06347656,0.0
33,0.06542969,0.0
34,0.06738281,0.0
35,0.06933594,0.0
36,0.07128906,0.0
37,0.07324219,0.0
38,0.07519531,0.0
39,0.07714844,0.0
40,0.07910156,0.0
41,0.08105469,0.0
42,0.08300781,0.0
43,0.08496094,0.0
44,0.08691406,0.0
45,0.08886719,0.0
46,0.09082031,0.0
47,0.09277344,0.0
48,0.09472656,0.0
49,0.09667969,0.0
50,0.09863281,0.0
51,0.10058594,0.0
52,0.10253906,0.0
53,0.10449219,0.0
54,0.10644531,0.0
55,0.10839844,0.0
56,0.11035156,0.0
57,0.11230469,0.0
58,0.11425781,0.0
59,0.11621094,0.0
60,0.11816406,0.0
61,0.12011719,0.0
62,0.12207031,0.0
63,0.12402344,0.0
64,0.12597656,0.0
65,0.12792969,0.0
66,0.12988281,0.0
67,0.13183594,0.0
68,0.13378906,0.0
69,0.13574219,0.0
70,0.13769531,0.0
71,0.13964844,0.0
72,0.14160156,0.0
73,0.14355469,0.0
74,0.14550781,0.0
75,0.14746094,0.0
76,0.14941406,0.0
77,0.15136719,0.0
78,0.15332031,0.0
79,0.15527344,0.0
80,0.15722656,0.0
81,0.15917969,0.0
82,0.16113281,0.0
83,0.16308594,0.0
84,0.16503906,0.0
85,0.16699219,0.0
86,0.16894531,0.0
87,0.17089844,0.0
88,0.17285156,0.0
89,0.17480469,0.0
90,0.17675781,0.0
91,0.17871094,0.0
92,0.18066406,0.0
93,0.18261719,0.0
94,0.18457031,0.0
95,0.18652344,0.0
96,0.18847656,0.0
97,0.19042969,0.0
98,0.19238281,0.0
99,0.19433594,0.0
100,0.19628906,0.0
101,0.19824219,0.0
102,0.20019531,0.0
103,0.20214844,0.0
104,0.20410156,0.0
105,0.20605469,0.0
106,0.20800781,0.0
107,0.20996094,0.0
108,0.21191406,0.0
109,0.21386719,0.0
110,0.21582031,0.0
111,0.21777344,0.0
112,0.21972656,0.0
113,0.22167969,0.0
114,0.22363281,0.0
115,0.22558594,0.0
116,0.22753906,0.0
117,0.22949219,0.0
118,0.23144531,0.0
119,0.23339844,0.0
120,0.23535156,0.0
121,0.23730469,0.0
122,0.23925781,0.0
123,0.24121094,0.0
124,0.24316406,0.0
125,0.24511719,0.0
126,0.24707031,0.0
127,0.24902344,0.0
128,0.25097656,0.0
129,0.2529297,0.0
130,0.2548828,0.0
131,0.25683594,0.0
132,0.25878906,0.0
133,0.2607422,0.0
134,0.2626953,0.0
135,0.26464844,0.0
136,0.26660156,0.0
137,0.2685547,0.0
138,0.2705078,0.0
139,0.27246094,0.0
140,0.27441406,0.0
141,0.2763672,0.0
142,0.2783203,0.0
143,0.28027344,0.0
144,0.28222656,0.0
145,0.2841797,0.0
146,0.2861328,0.0
147,0.28808594,0.0
148,0.29003906,0.0
149,0.2919922,0.0
150,0.2939453,0.0
151,0.29589844,0.0
152,0.29785156,0.0
153,0.2998047,0.0
154,0.3017578,0.0
155,0.30371094,0.0
156,0.30566406,0.0
157,0.3076172,0.0
158,0.3095703,0.0
159,0.31152344,0.0
160,0.31347656,0.0
161,0.3154297,0.0
162,0.3173828,0.0
163,0.31933594,0.0
164,0.32128906,0.0
165,0.3232422,0.0
166,0.3251953,0.0
167,0.32714844,0.0
168,0.32910156,0.0
169,0.3310547,0.0
170,0.3330078,0.0
171,0.33496094,0.0
172,0.33691406,0.0
173,0.3388672,0.0
174,0.3408203,0.0
175,0.34277344,0.0
176,0.34472656,0.0
177,0.3466797,0.0
178,0.3486328,0.0
179,0.35058594,0.0
180,0.35253906,0.0
181,0.3544922,0.0
182,0.3564453,0.0
183,0.35839844,0.0
184,0.36035156,0.0
185,0.3623047,0.0
186,0.3642578,0.0
187,0.36621094,0.0
188,0.36816406,0.0
189,0.3701172,0.0
190,0.3720703,0.0
191,0.37402344,0.0
192,0.37597656,0.0
193,0.3779297,0.0
194,0.3798828,0.0
195,0.38183594,0.0
196,0.38378906,0.0
197,0.3857422,0.0
198,0.3876953,0.0
199,0.38964844,0.0
200,0.39160156,0.0
201,0.3935547,0.0
202,0.3955078,0.0
203,0.39746094,0.0
204,0.39941406,0.0
205,0.4013672,0.0
206,0.4033203,0.0
207,0.40527344,0.0
208,0.40722656,0.0
209,0.4091797,0.0
210,0.4111328,0.0
211,0.41308594,0.0
212,0.41503906,0.0
213,0.4169922,0.0
214,0.4189453,0.0
215,0.42089844,0.0
216,0.42285156,0.0
217,0.4248047,0.0
218,0.4267578,0.0
219,0.42871094,0.0
220,0.43066406,0.0
221,0.4326172,0.0
222,0.4345703,0.0
223,0.43652344,0.0
224,0.43847656,0.0
225,0.4404297,0.0
226,0.4423828,0.0
227,0.44433594,0.0
228,0.44628906,0.0
229,0.4482422,0.0
230,0.4501953,0.0
231,0.45214844,0.0
232,0.45410156,0.0
233,0.4560547,0.0
234,0.4580078,0.0
235,0.45996094,0.0
236,0.46191406,0.0
237,0.4638672,0.0
238,0.4658203,0.0
239,0.46777344,0.0
240,0.46972656,0.0
241,0.4716797,0.0
242,0.4736328,0.0
243,0.47558594,0.0
244,0.47753906,0.0
245,0.4794922,0.0
246,0.4814453,0.0
247,0.48339844,0.0
248,0.48535156,0.0
249,0.4873047,0.0
250,0.4892578,0.0
251,0.49121094,0.0
252,0.49316406,0.0
253,0.4951172,-4.9014883
254,0.4970703,-8.922921
255,0.49902344,-9.82745
256,0.50097656,-10.067287
257,0.5029297,-9.82745
258,0.5048828,-8.921943
259,0.50683594,-4.8985515
260,0.50878906,0.0
261,0.5107422,0.0
262,0.5126953,0.0
263,0.51464844,0.0
264,0.51660156,0.0
265,0.5185547,0.0
266,0.5205078,0.0
267,0.52246094,0.0
268,0.52441406,0.0
269,0.5263672,0.0
270,0.5283203,0.0
271,0.53027344,0.0
272,0.53222656,0.0
273,0.5341797,0.0
274,0.5361328,0.0
275,0.53808594,0.0
276,0.54003906,0.0
277,0.5419922,0.0
278,0.5439453,0.0
279,0.54589844,0.0
280,0.54785156,0.0
281,0.5498047,0.0
282,0.5517578,0.0
283,0.55371094,0.0
284,0.55566406,0.0
285,0.5576172,0.0
286,0.5595703,0.0
287,0.56152344,0.0
288,0.56347656,0.0
289,0.5654297,0.0
290,0.5673828,0.0
291,0.56933594,0.0
292,0.57128906,0.0
293,0.5732422,0.0
294,0.5751953,0.0
295,0.57714844,0.0
296,0.57910156,0.0
297,0.5810547,0.0
298,0.5830078,0.0
299,0.58496094,0.0
300,0.58691406,0.0
301,0.5888672,0.0
302,0.5908203,0.0
303,0.59277344,0.0
304,0.59472656,0.0
305,0.5966797,0.0
306,0.5986328,0.0
307,0.60058594,0.0
308,0.60253906,0.0
309,0.6044922,0.0
310,0.6064453,0.0
311,0.60839844,0.0
312,0.61035156,0.0
313,0.6123047,0.0
314,0.6142578,0.0
315,0.61621094,0.0
316,0.61816406,0.0
317,0.6201172,0.0
318,0.6220703,0.0
319,0.62402344,0.0
320,0.62597656,0.0
321,0.6279297,0.0
322,0.6298828,0.0
323,0.63183594,0.0
324,0.63378906,0.0
325,0.6357422,0.0
326,0.6376953,0.0
327,0.63964844,0.0
328,0.64160156,0.0
329,0.6435547,0.0
330,0.6455078,0.0
331,0.64746094,0.0
332,0.64941406,0.0
333,0.6513672,0.0
334,0.6533203,0.0
335,0.65527344,0.0
336,0.65722656,0.0
337,0.6591797,0.0
338,0.6611328,0.0
339,0.66308594,0.0
340,0.66503906,0.0
341,0.6669922,0.0
342,0.6689453,0.0
343,0.67089844,0.0
344,0.67285156,0.0
345,0.6748047,0.0
346,0.6767578,0.0
347,0.67871094,0.0
348,0.68066406,0.0
349,0.6826172,0.0
350,0.6845703,0.0
351,0.68652344,0.0
352,0.68847656,0.0
353,0.6904297,0.0
354,0.6923828,0.0
355,0.69433594,0.0
356,0.69628906,0.0
357,0.6982422,0.0
358,0.7001953,0.0
359,0.70214844,0.0
360,0.70410156,0.0
361,0.7060547,0.0
362,0.7080078,0.0
363,0.70996094,0.0
364,0.71191406,0.0
365,0.7138672,0.0
366,0.7158203,0.0
367,0.71777344,0.0
368,0.71972656,0.0
369,0.7216797,0.0
370,0.7236328,0.0
371,0.72558594,0.0
372,0.72753906,0.0
373,0.7294922,0.0
374,0.7314453,0.0
375,0.73339844,0.0
376,0.73535156,0.0
377,0.7373047,0.0
378,0.7392578,0.0
379,0.74121094,0.0
380,0.74316406,0.0
381,0.7451172,0.0
382,0.7470703,0.0
383,0.74902344,0.0
384,0.75097656,0.0
385,0.7529297,0.0
386,0.7548828,0.0
387,0.75683594,0.0
388,0.75878906,0.0
389,0.7607422,0.0
390,0.7626953,0.0
391,0.76464844,0.0
392,0.76660156,0.0
393,0.7685547,0.0
394,0.7705078,0.0
395,0.77246094,0.0
396,0.77441406,0.0
397,0.7763672,0.0
398,0.7783203,0.0
399,0.78027344,0.0
400,0.78222656,0.0
401,0.7841797,0.0
402,0.7861328,0.0
403,0.78808594,0.0
404,0.79003906,0.0
405,0.7919922,0.0
406,0.7939453,0.0
407,0.79589844,0.0
408,0.79785156,0.0
409,0.7998047,0.0
410,0.8017578,0.0
411,0.80371094,0.0
412,0.80566406,0.0
413,0.8076172,0.0
414,0.8095703,0.0
415,0.81152344,0.0
416,0.81347656,0.0
417,0.8154297,0.0
418,0.8173828,0.0
419,0.81933594,0.0
420,0.82128906,0.0
421,0.8232422,0.0
422,0.8251953,0.0
423,0.82714844,0.0
424,0.82910156,0.0
425,0.8310547,0.0
426,0.8330078,0.0
427,0.83496094,0.0
428,0.83691406,0.0
429,0.8388672,0.0
430,0.8408203,0.0
431,0.84277344,0.0
432,0.84472656,0.0
433,0.8466797,0.0
434,0.8486328,0.0
435,0.85058594,0.0
436,0.85253906,0.0
437,0.8544922,0.0
438,0.8564453,0.0
439,0.85839844,0.0
440,0.86035156,0.0
441,0.8623047,0.0
442,0.8642578,0.0
443,0.86621094,0.0
444,0.86816406,0.0
445,0.8701172,0.0
446,0.8720703,0.0
447,0.87402344,0.0
448,0.87597656,0.0
449,0.8779297,0.0
450,0.8798828,0.0
451,0.88183594,0.0
452,0.88378906,0.0
453,0.8857422,0.0
454,0.8876953,0.0
455,0.88964844,0.0
456,0.89160156,0.0
457,0.8935547,0.0
458,0.8955078,0.0
459,0.89746094,0.0
460,0.89941406,0.0
461,0.9013672,0.0
462,0.9033203,0.0
463,0.90527344,0.0
464,0.90722656,0.0
465,0.9091797,0.0
466,0.9111328,0.0
467,0.91308594,0.0
468,0.91503906,0.0
469,0.9169922,0.0
470,0.9189453,0.0
471,0.92089844,0.0
472,0.92285156,0.0
473,0.9248047,0.0
474,0.9267578,0.0
475,0.92871094,0.0
476,0.93066406,0.0
477,0.9326172,0.0
478,0.9345703,0.0
479,0.93652344,0.0
480,0.93847656,0.0
481,0.9404297,0.0
482,0.9423828,0.0
483,0.94433594,0.0
484,0.94628906,0.0
485,0.9482422,0.0
486,0.9501953,0.0
487,0.95214844,0.0
488,0.95410156,0.0
489,0.9560547,0.0
490,0.9580078,0.0
491,0.95996094,0.0
492,0.96191406,0.0
493,0.9638672,0.0
494,0.9658203,0.0
495,0.96777344,0.0
496,0.96972656,0.0
497,0.9716797,0.0
498,0.9736328,0.0
499,0.97558594,0.0
500,0.97753906,0.0
501,0.9794922,0.0
502,0.9814453,0.0
503,0.98339844,0.0
504,0.98535156,0.0
505,0.9873047,0.0
506,0.9892578,0.0
507,0.99121094,0.0
508,0.99316406,0.0
509,0.9951172,0.0
510,0.9970703,0.0
511,0.99902344,0.0
